order_id,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10
1,A,C,B,D,A,B,C,B,D,A
2,B,D,C,A,A,D,B,C,D,A
3,C,A,D,B,D,A,B,A,C,D
4,D,B,A,C,C,B,A,D,B,C
5,A,C,B,D,A,B,D,C,A,D
6,B,A,C,D,B,C,A,D,B,A
7,C,B,D,A,C,B,D,A,C,B
8,D,C,B,A,B,C,D,A,B,C
9,A,D,C,B,A,B,C,B,D,A
10,B,A,D,C,B,D,A,C,B,D
11,C,B,A,D,B,C,D,B,A,C
12,D,C,B,A,D,A,C,B,D,A
13,A,D,C,B,A,D,C,A,B,D
14,B,C,D,A,B,D,C,A,B,C
15,C,A,B,D,C,B,A,C,B,A
16,D,B,C,A,D,B,C,A,D,B
17,A,B,D,C,A,C,B,D,A,B
18,B,C,A,D,B,C,D,B,A,C
19,C,D,B,A,C,B,D,A,C,B
20,D,A,C,B,D,B,C,B,A,D
21,A,C,B,D,B,A,C,B,D,A
22,B,A,D,C,A,B,C,D,A,B
23,C,B,A,D,C,B,A,C,B,D
24,D,C,B,A,D,A,B,C,B,C
25,A,B,C,D,B,A,C,B,D,A
26,B,C,D,A,B,C,D,A,B,C
27,C,A,B,D,C,A,B,D,C,A
28,D,B,C,A,D,B,C,A,D,B
29,A,B,D,C,A,B,D,C,A,B
30,B,C,A,D,B,C,A,D,B,C
31,C,D,B,A,C,B,A,D,B,C
32,D,A,C,B,D,B,C,B,A,D
33,A,C,B,D,A,B,C,B,D,A
34,B,A,D,C,B,C,A,B,D,C
35,C,B,A,D,C,B,D,A,C,B
36,D,C,B,A,B,C,A,D,B,C
37,A,B,C,D,A,B,C,B,A,D
38,B,C,D,A,B,C,D,A,B,C
39,C,A,B,D,C,B,A,C,B,A
40,D,B,C,A,D,B,C,A,B,D
41,A,C,B,D,A,C,B,D,A,B
42,B,D,C,A,B,D,A,C,B,C
43,C,A,D,B,C,B,D,A,C,B
44,D,B,A,C,B,C,A,B,D,C
45,A,B,D,C,A,B,D,C,A,B
46,B,C,A,D,B,C,A,D,B,C
47,C,D,B,A,C,B,D,A,C,B
48,D,A,C,B,D,B,C,B,A,D
49,A,C,B,D,A,B,C,B,D,A
50,B,A,D,C,A,B,C,D,A,B
51,C,B,A,D,B,C,A,D,B,C
52,D,C,B,A,B,C,D,A,B,C
53,A,B,C,D,A,B,C,B,D,A
54,B,C,D,A,B,C,A,D,B,C
55,C,A,B,D,C,B,D,A,C,B
56,D,B,C,A,D,B,C,A,D,B
57,A,B,D,C,A,B,D,C,A,B
58,B,C,A,D,B,C,A,D,B,C
59,C,D,B,A,C,B,A,C,B,A
60,D,A,C,B,D,B,C,B,A,D
61,A,C,B,D,A,B,C,B,D,A
62,B,A,D,C,B,C,A,B,D,C
63,C,B,A,D,C,B,A,D,B,C
64,D,C,B,A,B,C,A,B,D,A
65,A,B,C,D,A,B,D,C,A,B
66,B,C,D,A,B,D,C,A,B,C
67,C,A,B,D,C,B,A,C,B,A
68,D,B,C,A,D,B,C,A,D,B
69,A,B,D,C,A,C,B,D,A,B
70,B,C,A,D,B,C,D,B,A,C
71,C,D,B,A,C,B,D,A,C,B
72,D,A,C,B,D,B,C,B,A,D
73,A,C,B,D,A,B,C,B,D,A
74,B,A,D,C,A,B,C,D,A,B
75,C,B,A,D,B,C,D,B,A,C
76,D,C,B,A,D,A,C,B,D,A
77,A,D,C,B,A,D,C,A,B,D
78,B,C,D,A,B,D,C,A,B,C
79,C,A,B,D,C,B,A,C,B,A
80,D,B,C,A,D,B,C,A,D,B
81,A,B,D,C,A,C,B,D,A,B
82,B,C,A,D,B,C,D,B,A,C
83,C,D,B,A,C,B,D,A,C,B
84,D,A,C,B,D,B,C,B,A,D
85,A,C,B,D,A,B,C,B,D,A
86,B,A,D,C,B,D,A,C,B,D
87,C,B,A,D,B,C,D,B,A,C
88,D,C,B,A,D,A,C,B,D,A
89,A,D,C,B,A,D,C,A,B,D
90,B,C,D,A,B,D,C,A,B,C
91,C,A,B,D,C,B,A,C,B,A
92,D,B,C,A,D,B,C,A,D,B
93,A,B,D,C,A,C,B,D,A,B
94,B,C,A,D,B,C,D,B,A,C
95,C,D,B,A,C,B,D,A,C,B
96,D,A,C,B,D,B,C,B,A,D
97,A,C,B,D,A,B,C,B,D,A
98,B,A,D,C,B,C,A,B,D,C
99,C,B,A,D,C,B,D,A,C,B
100,D,C,B,A,B,C,A,D,B,C
